block,name,ra,dec,priority
A,ACT-CL_J0929.9+1520,09:29:58.365,+15:20:29.77,2
A,ACT-CL_J1032.1-0249,10:32:08.725,-02:49:38.12,2
A,ACT-CL_J1059.9+1448,10:59:56.009,+14:48:24.26,1
A,ACT-CL_J1116.0+1824,11:16:02.167,+18:24:22.71,1
A,ACT-CL_J1141.9+1941,11:41:59.076,+19:41:42.57,1
A,ACT-CL_J1152.2+0031,11:52:13.625,+00:31:19.86,2
A,ACT-CL_J1156.0+0529,11:56:04.810,+05:29:03.78,2
A,ACT-CL_J1202.5+1827,12:02:34.465,+18:27:00.27,1
A,ACT-CL_J1256.2+1635,12:56:12.350,+16:35:17.41,1
A,ACT-CL_J1303.5+0939,13:03:35.442,+09:39:44.42,1
A,ACT-CL_J1305.7+1417,13:05:47.614,+14:17:41.83,1
A,ACT-CL_J1317.9+1501,13:17:56.925,+15:01:08.08,1
A,ACT-CL_J1403.1+0346,14:03:07.234,+03:46:19.85,2
A,ACT-CL_J1418.9+0900,14:18:56.791,+09:00:39.16,1
A,ACT-CL_J1425.6+0352,14:25:41.766,+03:52:02.20,1
A,ACT-CL_J1426.3-0126,14:26:22.660,-01:26:50.77,2
A,ACT-CL_J1451.6+0255,14:51:40.886,+02:55:01.87,1
A,ACT-CL_J1501.5+1940,15:01:33.859,+19:40:30.30,1
A,ACT-CL_J1513.7+0525,15:13:46.554,+05:25:43.87,1
A,ACT-CL_J1535.4+0146,15:35:26.333,+01:46:57.23,1
A,ACT-CL_J1602.4+1231,16:02:24.376,+12:31:02.08,1
A,ACT-CL_J1621.7+1604,16:21:47.677,+16:04:19.65,1
A,ACT-CL_J1635.1+1529,16:35:06.917,+15:29:06.16,1
A,ACT-CL_J1636.7+1654,16:36:45.733,+16:54:25.38,1
